book_id,book_title,author_id,publisher_id
1,The Secret Library,1,1
2,Starship Dawn,2,2
3,The Wishing Key,3,3
4,Lost in the Fog,4,4
5,Ancient Echoes,5,5
6,The Iron Gate,6,6
7,Valley of Kings,7,7
8,Midnight's Child,8,8
9,Frozen Pathways,9,9
10,The Last Ember,10,10
11,Sunlit Shadows,11,11
12,The Glass Tower,12,12
13,Stolen Moments,13,13
14,The Turning Tide,14,14
15,The Blind Cartographer,15,15
16,Map of Dreams,16,16
17,The Painted Veil,17,17
18,Desert Mirage,18,18
19,The Silver Lining,19,19
20,The Hollow Tree,20,20
21,Crimson Sky,21,21
22,The Forgotten Path,22,22
23,Seven Moons,23,23
24,The Broken Compass,24,24
25,The Wandering Star,25,25
26,The Hidden Valley,26,26
27,Whispering Pines,27,27
28,The Crystal Lake,28,28
29,The Gilded Mask,29,29
30,The Silent Bell,30,30
31,The Blue Grotto,31,31
32,Shifting Sands,32,32
33,The Sleeping Giant,33,33
34,The Rising Storm,34,34
35,The Distant Shore,35,35
36,The Silver Thread,36,36
37,The Golden Apple,37,37
38,The Enchanted Forest,38,38
39,Labyrinth of Lies,39,39
40,The Endless Night,40,40
41,The Painted Desert,41,41
42,Harbor of Souls,42,42
43,The Clockmaker's Daughter,43,43
44,The Forgotten Kingdom,44,44
45,The Twin Suns,45,45
46,The Whispering Wind,46,46
47,The Watcher's Eye,47,47
48,The Serpent's Coil,48,48
49,The Sapphire Crown,49,49
50,The Rogue Star,50,50
51,The Lost Lantern,1,2
52,Darkwood Tales,2,3
53,The Moonlit Vale,3,4
54,The Dancing Bear,4,5
55,The Wind's Return,5,6
56,The Brass City,6,7
57,The Silver Ship,7,8
58,The Quiet River,8,9
59,The Empty Throne,9,10
60,The Burning Sky,10,11
61,The Singing Sword,11,12
62,The Rusted Crown,12,13
63,The Northern Lights,13,14
64,The Shadow's Edge,14,15
65,The Dream Weaver,15,16
66,The Lost Symphony,16,17
67,The Crystal Bridge,17,18
68,The Emerald Isle,18,19
69,The Paper Moon,19,20
70,The Wandering Mind,20,21
71,The Hidden Chamber,21,22
72,The Sable Queen,22,23
73,The Golden Feather,23,24
74,The Fox's Gambit,24,25
75,The Jade Emperor,25,26
76,The Quiet Storm,26,27
77,The Secret Staircase,27,28
78,The Silver Coin,28,29
79,The Crimson Cloak,29,30
80,The Fallen Star,30,31
81,The Silent Songbird,31,32
82,The Fading Light,32,33
83,The Serpent's Kiss,33,34
84,The Broken Arrow,34,35
85,The Sapphire Ring,35,36
86,The Shattered Stone,36,37
87,The Obsidian Gate,37,38
88,The Velvet Room,38,39
89,The Iron Mask,39,40
90,The Glass Castle,40,41